model,type,arm,metric,n,mean,median,q25,q75
llama3.1:8b,two-verb,backwards,bleu,21,0.18056459386960638,0.15619699684601276,0.11868405219520975,0.23643540225079385
llama3.1:8b,two-verb,backwards,chrf,21,0.5064533348118897,0.5134631968435287,0.434723143147237,0.6011529398998968
llama3.1:8b,two-verb,backwards,chrfpp,21,0.4900972007818895,0.5045011605470354,0.40046492508243065,0.5746463864886548
llama3.1:8b,two-verb,backwards,comet,21,0.7323433685870397,0.700886607170105,0.6485881805419922,0.8679894208908081
llama3.1:8b,two-verb,comparator,bleu,21,0.07670652935302244,0.04990049701936832,0.03829206138020502,0.08295193507109859
llama3.1:8b,two-verb,comparator,chrf,21,0.2538218031785913,0.24487668290132059,0.14052607868999129,0.3470210959441243
llama3.1:8b,two-verb,comparator,chrfpp,21,0.2525478837876124,0.22935212743383626,0.13944892193110037,0.35069164627241134
llama3.1:8b,two-verb,comparator,comet,21,0.42080208517256235,0.35096514225006104,0.29760482907295227,0.4423374831676483
llama3.2:1b,complex,backwards,bleu,25,0.13164585580678811,0.11478744233307168,0.08643019616048525,0.15848738972120702
llama3.2:1b,complex,backwards,chrf,25,0.39775729896165424,0.40792474521186634,0.2989641759206977,0.4769347933210728
llama3.2:1b,complex,backwards,chrfpp,25,0.3795271664741555,0.3955928945955932,0.284277513681432,0.4410699393739279
llama3.2:1b,complex,backwards,comet,25,0.7694514501094818,0.7458615899085999,0.7161468863487244,0.8644275069236755
llama3.2:1b,complex,comparator,bleu,25,0.044502480015177585,0.033864985683445356,0.033864985683445356,0.03673526562988939
llama3.2:1b,complex,comparator,chrf,25,0.09148091506723524,0.05912308760445337,0.03763440860215054,0.10053806882836966
llama3.2:1b,complex,comparator,chrfpp,25,0.09464983563575675,0.061704214253433524,0.0457401702516764,0.09889710889225482
llama3.2:1b,complex,comparator,comet,25,0.28979526698589325,0.2673971354961395,0.24610960483551025,0.2994667887687683
llama3.2:1b,nominalization,backwards,bleu,25,0.3316788821295051,0.24177237023718653,0.1670067963244422,0.3875385825373298
llama3.2:1b,nominalization,backwards,chrf,25,0.5540766737568038,0.5618952965772744,0.44256186432059047,0.6160123090051393
llama3.2:1b,nominalization,backwards,chrfpp,25,0.5460609872780625,0.5393104043469618,0.427726815592129,0.6057430683311833
llama3.2:1b,nominalization,backwards,comet,25,0.7374630796909333,0.7577040195465088,0.6177372336387634,0.8545511364936829
llama3.2:1b,nominalization,comparator,bleu,25,0.06300177940144,0.05669791110976001,0.04456882760699063,0.07809849842300637
llama3.2:1b,nominalization,comparator,chrf,25,0.11972396900278413,0.09850753271570184,0.06572377507467282,0.14179308886579586
llama3.2:1b,nominalization,comparator,chrfpp,25,0.13530739650133625,0.12122660057525182,0.091560735801471,0.14733576688333433
llama3.2:1b,nominalization,comparator,comet,25,0.33107202768325805,0.3251815736293793,0.30418017506599426,0.3566078841686249
llama3.2:1b,subject-verb,backwards,bleu,25,0.5428441615557208,0.35355339059327373,0.31947155212313627,1.0000000000000004
llama3.2:1b,subject-verb,backwards,chrf,25,0.6771892514423691,0.7613583122066678,0.29767666407271903,1.0
llama3.2:1b,subject-verb,backwards,chrfpp,25,0.6587978921290347,0.6750758523782444,0.3440947930353612,1.0
llama3.2:1b,subject-verb,backwards,comet,25,0.8881890940666198,0.9367725253105164,0.864614725112915,0.9777773022651672
llama3.2:1b,subject-verb,comparator,bleu,25,0.11120407514246988,0.12703318703865366,0.05522397783539471,0.1597357760615681
llama3.2:1b,subject-verb,comparator,chrf,25,0.18058509477604312,0.1361513936620976,0.07309941520467836,0.19737450551501323
llama3.2:1b,subject-verb,comparator,chrfpp,25,0.18226108319850198,0.15134146788946287,0.09394709180098106,0.20241788202959704
llama3.2:1b,subject-verb,comparator,comet,25,0.41918726325035094,0.39383193850517273,0.37459102272987366,0.4816770851612091
llama3.2:1b,subject-verb-object,backwards,bleu,25,0.30105353420612196,0.23643540225079385,0.17965205598154213,0.35355339059327373
llama3.2:1b,subject-verb-object,backwards,chrf,25,0.5788627970302571,0.5790225237364339,0.49098918898732774,0.6259934706817257
llama3.2:1b,subject-verb-object,backwards,chrfpp,25,0.5502260421881409,0.5301534519832521,0.4503667117297929,0.5927700390474919
llama3.2:1b,subject-verb-object,backwards,comet,25,0.8422204852104187,0.8430823087692261,0.7819980978965759,0.8726266622543335
llama3.2:1b,subject-verb-object,comparator,bleu,25,0.06658339231223515,0.04767707020457095,0.04767707020457095,0.07495553473355841
llama3.2:1b,subject-verb-object,comparator,chrf,25,0.11947142927495591,0.050505050505050504,0.037037037037037035,0.18774526198632785
llama3.2:1b,subject-verb-object,comparator,chrfpp,25,0.13193549359483556,0.060211946050096346,0.05347747002248313,0.20532087430922613
llama3.2:1b,subject-verb-object,comparator,comet,25,0.33237704634666443,0.3008404076099396,0.26079726219177246,0.3630579113960266
llama3.2:1b,two-clause,backwards,bleu,25,0.19207812577823125,0.20801195378010617,0.13832543625866361,0.2304318198457308
llama3.2:1b,two-clause,backwards,chrf,25,0.4993015981161637,0.50216632408986,0.43106686840460645,0.556616136864554
llama3.2:1b,two-clause,backwards,chrfpp,25,0.48113244705714914,0.4931904400139566,0.40403841859959,0.5372585044539684
